No.,Time,Source,Destination,Protocol,Length,Info
13707,467.079895,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,128,"Standard query 0x0000 SRV HP LaserJet Pro M501dn (8E6B82)._ipps._tcp.local, ""QM"" question"
13708,467.080542,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,128,"Standard query 0x0000 SRV HP LaserJet Pro M501dn (8E6B82)._ipps._tcp.local, ""QM"" question"
13709,467.081325,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,128,"Standard query 0x0000 TXT HP LaserJet Pro M501dn (8E6B82)._ipps._tcp.local, ""QM"" question"
13710,467.081979,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,128,"Standard query 0x0000 TXT HP LaserJet Pro M501dn (8E6B82)._ipps._tcp.local, ""QM"" question"
13711,467.101781,MTNElectroni_01:19:58,Broadcast,RLDP,60,Network Loop Detection
13712,467.123828,fe80::b25c:daff:fe65:186f,ff02::fb,MDNS,1505,"Standard query response 0x0000 TXT, cache flush TXT, cache flush SRV, cache flush 0 0 8080 NPI65186F.local SRV, cache flush 0 0 443 NPI65186F.local A, cache flush 203.252.195.111 AAAA, cache flush fe80::b25c:daff:fe65:186f NSEC, cache flush HP Color LaserJet MFP M283fdw (65186F)._ipps._tcp.local NSEC, cache flush HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local NSEC, cache flush HP Color LaserJet MFP M283fdw (65186F)._uscans._tcp.local"
13713,467.124618,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._ipps._tcp.local, ""QM"" question"
13714,467.125257,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._ipps._tcp.local, ""QM"" question"
13715,467.125394,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,135,"Standard query 0x0000 TXT HP Color LaserJet MFP M283fdw (65186F)._ipps._tcp.local, ""QM"" question"
13716,467.126281,fe80::5a20:b1ff:fef3:5334,ff02::fb,MDNS,245,"Standard query response 0x0000 SRV, cache flush 0 0 443 HP5820B1F35334.local A, cache flush 203.153.146.43 AAAA, cache flush fe80::5a20:b1ff:fef3:5334 NSEC, cache flush HP5820B1F35334.local NSEC, cache flush HP PageWide Pro 477dw MFP [F35334]._ipps._tcp.local"
